CID,SMILES,Kappa1,Kappa2,Kappa3,Phi,Oxygen Balance /%,Rotatable Bonds,Sythetic Accessability Score,PM7 Energy /KJmol-1,B3LYP Energy /KJmol-1,PM7 Frequencies,B3LYP Frequencies
25201614,C1(=NC(=NC(=O)N1)[O-])C(=O)[O-],7.190132158590309,2.3673495497012036,1.5066528925619835,1.4184630106609093,-46.431111320910944,1,5.182036350489723,-448.72740654520203,437.89552263823197,N/A,N/A
10798894,C=C(C#N)C1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],11.325471698113208,4.183884297520661,2.009910723775109,2.256403009511929,-120.4634008004428,3,5.4321292517819515,271.6653270547455,973.1680298879176,"23.4464, 45.3989, 52.7278, 54.5869, 131.4184, 135.6608, 163.1352, 174.0982, 235.2111, 284.9434, 321.4811, 346.3076, 356.838, 364.7409, 423.386, 497.9999, 524.5342, 541.4357, 573.6206, 643.825, 649.0547, 679.6334, 690.8593, 732.5434, 737.1561, 766.6519, 793.5437, 839.2158, 911.7231, 963.2622, 984.3656, 1016.5103, 1027.0993, 1112.1123, 1113.8267, 1224.6717, 1258.6191, 1309.3506, 1321.9959, 1372.8173, 1375.8861, 1427.3744, 1468.3569, 1478.0859, 1514.6578, 1574.9774, 1688.1632, 1701.6075, 1774.5589, 1779.1271, 1827.1471, 2453.6429, 2691.0351, 2693.8289, 2715.0174, 2743.5367, 2759.7197","36.0199, 50.4396, 59.1549, 85.0616, 132.1559, 156.717, 162.2336, 169.6181, 242.1199, 292.2071, 327.6797, 343.9606, 372.386, 374.3891, 440.8151, 500.6704, 522.7445, 549.0489, 584.4953, 641.1744, 661.4943, 695.073, 720.5124, 745.2605, 761.5497, 768.4271, 785.9764, 845.7385, 878.8745, 911.6823, 939.6504, 963.5696, 967.5187, 999.2919, 1077.7777, 1131.7295, 1153.2707, 1173.5998, 1273.1029, 1325.7533, 1362.5781, 1392.2779, 1402.3126, 1436.1758, 1455.4415, 1519.7491, 1612.759, 1635.4341, 1668.8759, 1674.6218, 1682.7223, 2353.7389, 3187.8927, 3224.21, 3256.0308, 3275.2047, 3279.4374"
15353581,COC(=O)C1=CC(=O)OC2=C1C=C(C=C2[N+](=O)[O-])[N+](=O)[O-],14.116368783779917,4.997490560769221,2.409512649480199,2.6128303610843493,-92.46230308503873,4,5.108669774547051,-491.9307823153385,479.63296492161874,"25.0059, 29.7842, 39.8158, 43.4913, 72.4062, 79.4047, 106.7886, 121.4906, 131.3934, 151.2605, 161.1178, 178.769, 208.7597, 239.5183, 270.571, 302.7651, 328.9972, 349.7166, 373.5367, 378.3035, 409.4112, 465.1672, 490.7573, 499.4568, 534.7621, 558.1649, 601.7737, 616.773, 667.9333, 679.5705, 689.6754, 729.2732, 734.2859, 746.0509, 759.0586, 807.4798, 850.9836, 945.7116, 955.1842, 961.1695, 986.0845, 996.0985, 1042.3636, 1072.104, 1084.4267, 1146.6955, 1168.1661, 1195.5848, 1269.9854, 1281.4508, 1287.2487, 1295.6393, 1303.6216, 1344.397, 1379.1872, 1419.3291, 1438.8319, 1463.45, 1477.4838, 1508.4309, 1553.6213, 1613.5615, 1662.7438, 1699.9264, 1774.3903, 1785.4472, 1819.7826, 1870.5304, 1913.7108, 2649.9841, 2657.5793, 2679.6662, 2701.121, 2728.116, 2744.9002","20.2035, 32.7604, 51.4713, 53.7384, 86.2729, 109.8155, 118.1814, 136.6778, 145.7924, 160.473, 178.1418, 189.93, 198.926, 260.6956, 294.1187, 325.0796, 340.679, 346.6309, 382.0305, 403.5035, 414.168, 473.2195, 525.1991, 541.4495, 557.6043, 563.195, 626.5455, 644.9845, 697.0432, 722.3295, 742.487, 749.4453, 773.4183, 782.4718, 794.3915, 804.3113, 840.3607, 893.7636, 925.6998, 929.0703, 952.6603, 959.9344, 982.2087, 991.0681, 1086.2194, 1123.9994, 1166.825, 1184.0885, 1215.4402, 1237.4644, 1238.8149, 1288.8191, 1307.5702, 1371.8717, 1392.5008, 1401.6968, 1407.6106, 1466.0357, 1487.4656, 1496.3613, 1512.2338, 1520.5488, 1606.2277, 1631.9084, 1651.8445, 1674.3699, 1680.2965, 1805.3379, 1861.5026, 3085.0958, 3164.9742, 3198.1237, 3270.7381, 3271.1515, 3284.823"
3335139,CN(C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])N,13.245876152832674,4.584375555077455,2.2963570304803773,2.4289628336251803,-71.5506797742327,6,5.5592346108664685,139.50112474084384,1130.0592437747305,"34.0345, 39.6328, 54.3761, 82.0032, 94.6716, 102.8305, 150.8366, 168.9316, 188.3941, 238.9762, 252.7527, 291.0966, 315.2741, 346.0855, 366.803, 380.7748, 405.8509, 439.4675, 487.8548, 495.0867, 528.6208, 535.9503, 608.5903, 638.3116, 675.3551, 690.4044, 715.6263, 727.7276, 740.1492, 762.16, 783.0751, 794.2541, 839.3892, 974.28, 994.1762, 1053.1094, 1057.4594, 1083.3279, 1098.3205, 1139.8072, 1255.052, 1281.975, 1306.4345, 1323.25, 1335.8772, 1369.7174, 1387.6941, 1423.9075, 1446.8358, 1468.7865, 1476.9248, 1484.4791, 1501.09, 1515.7039, 1591.872, 1601.7315, 1683.2553, 1685.395, 1750.2124, 1766.1623, 1772.0045, 1916.7277, 2616.8875, 2619.9935, 2639.5529, 2670.5133, 2676.9385, 2728.948, 2742.2774","41.6147, 59.9612, 65.9379, 73.4602, 105.1274, 127.7116, 149.7902, 189.8737, 208.7696, 221.5625, 245.948, 266.6099, 289.0079, 308.4122, 331.1046, 348.6155, 359.8935, 390.1159, 392.1727, 426.7745, 465.8396, 543.6175, 549.5931, 553.4947, 647.541, 681.5188, 716.6071, 744.3802, 752.0963, 766.6802, 773.7775, 792.4093, 831.5503, 925.6012, 936.6221, 955.3659, 963.6103, 970.8317, 1001.3373, 1109.0907, 1149.9515, 1167.1787, 1196.2681, 1200.2289, 1281.9745, 1331.6959, 1357.8529, 1379.9121, 1387.4178, 1395.3929, 1403.9631, 1449.4861, 1471.6109, 1507.8535, 1515.1482, 1551.14, 1587.245, 1613.1541, 1636.3054, 1661.4813, 1669.9912, 1706.2166, 3069.2469, 3141.3339, 3164.4324, 3263.2949, 3270.381, 3430.092, 3547.0706"
54152843,CC1C(NC(=O)NC1=O)OO,7.961419878296145,2.849393002380015,1.4667861912139464,1.193958636327694,-99.92005146881851,3,7.65566986249806,-518.826307058942,18.454281806540337,"51.422, 61.3976, 109.3774, 122.1563, 130.5518, 172.575, 184.8695, 251.1814, 307.0096, 357.6559, 414.493, 434.2399, 485.1656, 552.0547, 566.8549, 578.5532, 627.8505, 688.0017, 710.3948, 795.9659, 867.2077, 973.248, 1040.8514, 1049.2748, 1079.6478, 1105.3181, 1129.1191, 1149.6234, 1239.0605, 1243.0926, 1263.6711, 1285.8986, 1288.6438, 1298.3139, 1345.2567, 1379.1885, 1392.79, 1397.226, 1460.4785, 1483.8546, 1497.3696, 1833.4105, 1853.9514, 2657.2263, 2659.0426, 2667.7953, 2684.4852, 2752.6333, 2761.1456, 2775.7434, 2855.7461","63.9078, 80.7138, 134.365, 163.8683, 175.3515, 220.5467, 238.9238, 256.3406, 324.3497, 377.8324, 415.4944, 469.8889, 531.0313, 559.9022, 614.9089, 631.1021, 678.5748, 732.5261, 763.2142, 771.2193, 862.5688, 927.1759, 935.3268, 988.2378, 1006.9186, 1039.5492, 1093.2146, 1118.1317, 1176.7908, 1258.8977, 1322.1212, 1328.1615, 1362.6591, 1392.2219, 1406.9801, 1421.7258, 1438.6548, 1452.788, 1490.1377, 1528.0851, 1532.4876, 1822.8688, 1840.7614, 3063.9896, 3093.3782, 3109.266, 3135.891, 3151.2349, 3598.9092, 3614.6471, 3706.5346"
85375066,C1=CC(=CC(=C1)[N+](=O)[O-])C=CC2=C(C=C(C=C2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],18.123477057721257,7.124900885855996,3.811850879971045,3.7978816983337937,-106.596987768995,6,5.778866244480262,210.9714553610059,1374.22160047534,"13.7514, 21.589, 23.94, 27.1959, 29.9987, 33.4359, 48.1257, 79.2864, 84.2754, 113.4112, 144.0335, 155.1552, 156.4327, 160.6316, 174.7494, 214.4836, 249.604, 296.3112, 321.6631, 338.7521, 358.5598, 366.4185, 375.5693, 387.0055, 408.7149, 427.5191, 447.3538, 478.2393, 504.5802, 535.0494, 543.3879, 556.4061, 582.4385, 616.1373, 641.3292, 665.8597, 681.8823, 690.3888, 715.0556, 726.7997, 731.5834, 746.1474, 771.2168, 793.4999, 822.6117, 863.3572, 902.0816, 960.1122, 984.3971, 985.8596, 986.9093, 995.1254, 1002.1252, 1026.3782, 1034.3471, 1037.0281, 1040.8075, 1077.1945, 1211.4547, 1232.3422, 1239.7322, 1267.3929, 1268.8826, 1288.8407, 1310.0114, 1320.6264, 1331.9045, 1383.7279, 1390.5844, 1392.6105, 1420.7162, 1460.3307, 1462.4355, 1475.8632, 1480.7939, 1516.6928, 1535.2252, 1563.2969, 1578.3556, 1678.7831, 1689.7302, 1692.881, 1707.3962, 1766.6411, 1775.5795, 1785.2995, 1787.7728, 1846.9709, 2674.4722, 2681.9799, 2713.5153, 2719.8647, 2727.6489, 2733.8887, 2738.4152, 2756.9385","9.5679, 23.7549, 29.11, 42.0489, 49.1025, 54.2597, 60.4471, 70.4825, 91.3668, 115.229, 144.5963, 151.5363, 169.5967, 181.6021, 188.5845, 195.3894, 268.4773, 291.8338, 314.7274, 321.303, 352.6129, 368.1107, 387.0789, 397.7127, 418.9655, 436.8407, 479.5814, 495.4751, 546.0576, 549.8952, 551.4978, 557.4343, 608.2981, 669.8908, 682.5399, 689.5488, 716.5454, 731.0251, 736.8067, 745.7286, 749.7846, 780.6165, 785.6028, 823.8715, 826.7755, 834.0453, 866.0463, 878.9752, 927.9947, 937.9069, 947.3121, 949.1079, 954.1067, 956.5252, 962.2645, 997.8301, 1016.9493, 1025.2893, 1106.4308, 1120.2134, 1126.4127, 1190.2095, 1196.2035, 1209.1171, 1234.0329, 1264.5694, 1309.5853, 1333.8105, 1358.2061, 1363.2812, 1389.4084, 1391.3934, 1396.7202, 1400.4147, 1412.7426, 1436.9701, 1474.0812, 1487.3654, 1532.8093, 1604.3532, 1624.0017, 1630.3543, 1637.6594, 1652.3872, 1663.881, 1673.2045, 1678.2149, 1693.6145, 3166.4734, 3207.3107, 3222.027, 3240.596, 3255.7846, 3262.0476, 3270.0594, 3274.5503"
134975654,COC1=C(C=C(C=N1)C(OC)OC)[N+](=O)[O-],12.340077084793274,5.380177686921896,2.4405174146914153,2.3711359780893204,-133.21532091877555,8,6.829001610596729,-393.3397138355185,342.33629885599214,"9.9637, 22.0287, 42.2147, 45.2954, 61.4345, 104.74, 113.576, 118.0914, 142.8407, 149.4406, 171.9771, 181.3911, 212.6565, 240.0878, 278.0716, 334.6214, 361.6604, 392.7006, 415.1199, 437.6222, 445.9564, 551.286, 561.2236, 608.2708, 647.684, 678.9834, 696.3967, 792.2654, 803.71, 865.8969, 973.6828, 992.2137, 1001.626, 1046.3831, 1069.4456, 1074.4231, 1080.5368, 1084.0494, 1094.7305, 1146.5233, 1164.9892, 1189.4831, 1200.4239, 1204.9871, 1226.9865, 1246.6884, 1256.3966, 1265.003, 1275.6019, 1289.0447, 1289.3238, 1290.5748, 1295.9781, 1309.1708, 1327.5384, 1354.0733, 1365.6988, 1386.1161, 1393.0502, 1464.1019, 1481.4369, 1510.2566, 1547.4325, 1657.7077, 1690.4801, 1764.7351, 2650.4972, 2651.5242, 2652.3758, 2652.7845, 2655.6922, 2657.6617, 2662.1204, 2698.678, 2722.3733, 2744.6898, 2746.152, 2748.2321","15.6726, 38.3877, 58.0924, 85.0181, 95.6724, 118.7277, 123.5729, 138.0012, 172.8219, 182.2064, 191.2224, 202.3291, 231.7025, 261.3245, 311.2797, 315.8447, 375.7466, 388.6451, 406.7806, 457.356, 474.726, 566.2232, 579.5722, 621.3865, 673.8065, 698.0147, 743.0772, 782.2937, 830.3929, 838.2283, 944.5436, 978.2183, 984.0189, 1003.7059, 1022.0402, 1043.5084, 1113.7196, 1124.8814, 1151.4962, 1181.2713, 1184.9115, 1191.4434, 1203.4755, 1218.1589, 1230.4317, 1245.7087, 1295.9453, 1333.3867, 1352.9338, 1392.4409, 1393.4348, 1398.4303, 1455.6955, 1476.4211, 1495.9736, 1502.6504, 1511.2411, 1512.6032, 1517.804, 1521.4307, 1539.2054, 1540.0461, 1541.6169, 1609.1293, 1634.9385, 1677.4143, 2916.9263, 3005.1888, 3016.5653, 3059.8422, 3074.5279, 3107.0654, 3149.7777, 3150.0006, 3158.8455, 3168.7467, 3184.0032, 3253.8827"
10889184,C1COC(O1)C2=C(C=CC(=C2)[N+](=O)[O-])O,9.87842817099763,3.835653535907275,1.9016242017101286,1.5787594976372124,-132.5936753006301,3,6.676292577003889,-448.624218839644,254.25240545328796,"19.0061, 35.4062, 71.706, 92.5105, 97.3902, 129.9823, 156.545, 242.1823, 260.7182, 289.2822, 317.4781, 362.0191, 373.2583, 458.9835, 470.555, 517.7087, 556.2591, 590.8303, 628.5407, 690.0504, 721.6954, 740.1395, 767.9429, 781.1945, 841.1625, 894.1637, 909.8676, 979.9344, 1001.4321, 1016.7694, 1029.0704, 1051.8059, 1072.5788, 1097.5245, 1104.0533, 1123.0253, 1162.2577, 1169.3797, 1189.1958, 1216.5934, 1232.0176, 1256.68, 1283.7261, 1292.2752, 1318.2331, 1329.7554, 1338.5954, 1355.6316, 1363.0225, 1400.6491, 1441.0544, 1484.0909, 1544.459, 1586.8207, 1699.6975, 1703.401, 1759.5773, 2642.7299, 2664.8072, 2667.1372, 2719.2642, 2719.8887, 2724.6792, 2726.0814, 2762.0862, 2779.861","38.6479, 46.8619, 58.4919, 116.6352, 117.5672, 152.1988, 224.7773, 260.4277, 286.6556, 309.0086, 357.7106, 380.0018, 395.3504, 479.6367, 490.2209, 545.3634, 568.1595, 632.3235, 650.607, 654.3137, 729.7578, 755.8963, 764.3045, 824.2753, 828.0302, 845.6933, 913.5889, 941.5495, 956.8921, 964.5479, 972.1731, 980.019, 991.9039, 1069.444, 1094.6549, 1138.9003, 1154.324, 1171.2413, 1196.298, 1229.7924, 1234.0308, 1260.3184, 1297.0166, 1323.076, 1335.9464, 1387.2831, 1392.7546, 1396.8334, 1400.8144, 1424.8064, 1478.6008, 1539.0123, 1540.8568, 1548.7169, 1620.9068, 1654.0688, 1674.487, 3025.1559, 3040.5952, 3066.7066, 3125.0335, 3135.4014, 3180.0901, 3253.3659, 3268.7203, 3746.4637"
101801243,C1=CC2=C(C=C1[N+](=O)[O-])C(=O)OOC2=O,9.128216426936765,3.049575920907206,1.3909617649103372,1.5465105009119984,-87.99090556605601,1,5.140638993913355,-231.23386147846654,390.8481916849421,"13.8666, 48.3356, 61.167, 89.8433, 138.5768, 159.0265, 237.7166, 280.4114, 307.0934, 378.6757, 393.3391, 433.8113, 451.3854, 497.0693, 505.8183, 561.8927, 588.9326, 604.58, 661.5337, 726.8934, 738.2721, 772.5139, 778.7039, 784.0937, 914.657, 987.0274, 991.0096, 1028.2294, 1033.0702, 1118.8238, 1227.4746, 1259.1075, 1270.738, 1298.9729, 1341.4927, 1359.4438, 1425.7991, 1471.4704, 1530.0012, 1580.8529, 1699.304, 1716.9627, 1778.2046, 1832.6109, 1855.533, 2695.8979, 2713.2393, 2730.2949","45.811, 66.4894, 85.963, 113.3417, 157.0464, 169.2743, 256.4172, 283.9239, 309.7898, 410.0565, 432.2338, 455.0509, 476.5667, 483.2743, 525.2735, 583.4708, 622.3152, 644.3093, 702.7845, 707.5295, 747.8032, 756.0465, 768.2871, 809.659, 879.0434, 888.1625, 915.4407, 968.0087, 1011.4065, 1061.8658, 1108.3146, 1135.7778, 1150.8191, 1249.3145, 1278.6723, 1319.7999, 1391.1058, 1399.3121, 1462.0825, 1523.4207, 1631.3591, 1651.6396, 1680.0552, 1837.4405, 1847.2754, 3237.1108, 3257.3183, 3261.5936"
68483169,CCOC1=C(C=C(C=C1)[N+](=O)[O-])O,9.309126559714795,3.7504504585397527,2.080165003656975,1.586973544294861,-144.13520406269095,5,6.6367815390049385,-298.68908788186803,238.66362496100817,"30.9685, 39.3853, 78.1289, 103.2497, 124.7344, 144.5679, 172.3434, 225.5743, 279.1933, 294.9952, 303.1516, 335.6655, 414.5903, 421.556, 500.9295, 508.6404, 531.259, 604.3868, 642.5592, 684.822, 730.6437, 776.7578, 876.5729, 884.7612, 900.6128, 949.3985, 992.8364, 1004.1485, 1049.1938, 1095.6267, 1142.3975, 1177.2123, 1184.9841, 1195.6025, 1237.7907, 1275.2225, 1285.2113, 1287.3276, 1314.5525, 1337.0998, 1349.7614, 1369.1349, 1396.8418, 1402.818, 1478.6048, 1483.722, 1549.0235, 1593.6322, 1686.5899, 1706.5738, 1758.1083, 2642.4634, 2677.1943, 2678.0441, 2711.173, 2730.3563, 2736.7801, 2764.0572, 2781.7431, 2786.062","46.8003, 67.0294, 113.9032, 125.5845, 131.4947, 209.6918, 222.7199, 258.181, 286.6746, 333.452, 343.5288, 382.0752, 410.0665, 468.3318, 490.6629, 553.6725, 572.8844, 607.5983, 662.1752, 707.7666, 751.2104, 800.0539, 821.161, 822.3855, 848.8385, 881.8426, 939.4549, 948.174, 972.3822, 1070.038, 1116.4301, 1146.0812, 1161.1217, 1193.059, 1204.1378, 1290.1703, 1316.434, 1316.9685, 1340.3945, 1390.529, 1419.1034, 1423.4645, 1452.6287, 1480.3614, 1514.2214, 1529.4042, 1547.138, 1570.3967, 1616.6124, 1653.2465, 1671.1071, 3023.6843, 3064.2694, 3066.1092, 3137.9897, 3146.3453, 3226.5033, 3235.7045, 3257.7171, 3749.7262"
181561,COC1CCC(=O)N1,5.564589502018842,2.1320002271579725,0.9795771931582414,0.6978650636673553,-173.7159740350208,2,7.808486725930647,-391.135347971143,-40.580047038978535,"50.0123, 77.0622, 107.9747, 145.9617, 312.8674, 423.4123, 425.7325, 479.4644, 514.2806, 583.972, 615.7507, 764.555, 850.5296, 957.6751, 983.3523, 1050.3155, 1060.3256, 1079.3641, 1114.7187, 1127.814, 1154.9352, 1175.7117, 1189.4378, 1220.524, 1249.2953, 1268.247, 1284.8738, 1291.9287, 1295.4011, 1298.7298, 1344.3803, 1384.6, 1388.0982, 1444.4165, 1846.0879, 1872.3424, 2653.9054, 2655.6518, 2661.5131, 2670.1373, 2695.5092, 2747.2778, 2750.2271, 2767.354, 2822.0501","79.1882, 112.2783, 133.3699, 213.8562, 278.6539, 411.1693, 464.6598, 499.7879, 523.1217, 592.1057, 659.3074, 772.905, 818.2566, 880.0629, 915.8155, 957.4927, 1001.7054, 1070.8549, 1084.8441, 1136.7001, 1185.184, 1190.9386, 1232.5379, 1235.0827, 1254.342, 1316.0962, 1331.2993, 1374.4596, 1416.2701, 1452.643, 1494.1791, 1502.0772, 1517.3396, 1520.8984, 1539.8413, 1843.6254, 2995.0867, 3022.6281, 3047.8308, 3080.7897, 3086.618, 3136.1006, 3143.8763, 3149.6777, 3625.4915"
61220972,CC(C)(C(=O)N)NC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],14.351387354205036,4.881735942153658,3.147883882359345,2.259989789251362,-125.26746094190392,7,6.591789938420211,-223.75051978525156,620.4939841402531,"27.704, 32.9808, 35.1719, 49.7049, 57.1818, 105.4772, 127.3931, 141.7722, 142.5735, 181.183, 196.9818, 227.9471, 231.6586, 274.0442, 284.9955, 319.1379, 357.6606, 378.6283, 380.2805, 412.4648, 417.4908, 423.4094, 472.8872, 481.0029, 508.8294, 527.8099, 535.1746, 569.6197, 604.0147, 629.3705, 640.3464, 661.7375, 702.2407, 723.6573, 735.7409, 778.8729, 784.8185, 822.8299, 897.823, 919.64, 967.1995, 983.4882, 988.508, 1024.0842, 1027.0046, 1036.3186, 1040.8807, 1167.0849, 1198.5611, 1203.392, 1209.5754, 1270.408, 1275.8029, 1280.5489, 1289.553, 1295.3231, 1304.1096, 1331.1443, 1387.9423, 1401.7514, 1407.7255, 1431.9952, 1467.6759, 1472.8738, 1480.2158, 1508.6557, 1611.285, 1638.9771, 1650.6371, 1715.8023, 1742.6532, 1764.0381, 1824.4709, 1949.9488, 1999.3164, 2656.6011, 2662.0147, 2667.2307, 2673.3118, 2683.1136, 2714.0581, 2739.637, 2742.7373, 2774.5438, 2778.6861, 2800.0951, 2816.7124","42.1455, 43.2546, 56.0585, 59.2597, 66.641, 101.7028, 136.2707, 174.4516, 178.2187, 189.1566, 199.9589, 239.928, 263.9948, 280.4643, 303.5956, 311.4919, 322.6369, 345.7465, 371.3544, 383.6414, 398.8721, 438.7509, 458.4757, 517.5212, 533.2808, 542.1022, 569.6287, 595.7987, 634.7441, 662.4066, 676.3004, 703.176, 716.0697, 736.8771, 750.2169, 764.189, 774.4901, 835.4078, 849.6347, 860.6864, 918.9907, 947.5355, 959.219, 972.4638, 1001.2854, 1005.4564, 1041.8829, 1086.2424, 1096.7087, 1154.0711, 1172.3262, 1199.8085, 1220.6149, 1238.4416, 1282.2328, 1323.4042, 1354.8856, 1366.6581, 1384.8372, 1401.9252, 1427.2209, 1447.2118, 1468.4965, 1499.6042, 1512.433, 1513.8707, 1530.8232, 1538.0094, 1563.8945, 1600.9948, 1627.6098, 1634.9038, 1657.779, 1675.4481, 1800.9807, 3059.8239, 3077.6275, 3130.8114, 3148.6394, 3152.2866, 3169.9599, 3244.4783, 3255.8624, 3277.4146, 3507.1072, 3592.7682, 3717.8313"
12398696,C1=CC2=C(C=C1[N+](=O)[O-])OC=CO2,7.600932428048904,2.779864720541118,1.3086418425950812,1.1738646611083383,-129.5151666726214,1,6.036980074109755,-122.56513876926955,441.91782093457823,"28.0855, 76.3975, 119.0191, 177.011, 197.6115, 305.1763, 347.6213, 376.5162, 397.1196, 422.6969, 509.0606, 519.3112, 549.8957, 576.7074, 622.9937, 684.2465, 732.3612, 764.1931, 829.9866, 869.9655, 888.1272, 896.4265, 904.1205, 966.2507, 1011.734, 1017.5207, 1109.1391, 1121.2075, 1196.0529, 1211.5033, 1248.5574, 1287.9938, 1317.5366, 1368.9304, 1371.6865, 1437.1567, 1478.2175, 1543.8946, 1581.5555, 1693.913, 1708.2281, 1764.4565, 1849.9256, 2723.0469, 2727.5737, 2734.9115, 2747.6208, 2757.7948","61.1738, 73.6124, 122.7084, 195.2887, 202.7337, 338.3264, 343.7436, 387.6044, 462.4577, 498.5757, 512.8531, 544.9395, 562.1596, 582.9174, 644.1446, 687.8824, 750.11, 754.1633, 769.5529, 814.7013, 843.3147, 868.1978, 912.4958, 917.7953, 938.5988, 961.7928, 1038.1438, 1085.6862, 1105.1401, 1147.621, 1195.4267, 1241.5285, 1281.6847, 1343.1361, 1380.7427, 1391.6538, 1402.8237, 1473.2104, 1541.2827, 1620.0669, 1651.6056, 1670.7881, 1763.8826, 3225.0002, 3260.0487, 3260.9243, 3272.3577, 3292.1766"
3103777,C1COCCN1C2=C(C=C(C=C2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],14.586227811599894,5.6636735958285,2.8638345996288646,2.664891397396698,-96.57656207559128,4,6.027684522783217,-49.9744591101554,1001.6608898551904,"8.3506, 27.805, 34.3667, 56.5392, 59.0798, 97.3437, 106.0754, 146.0614, 154.1734, 155.2622, 172.369, 182.609, 229.2338, 235.9503, 281.4347, 336.6237, 350.0353, 351.5307, 366.5753, 374.5407, 405.6712, 451.3092, 495.8923, 505.1683, 533.499, 572.3459, 622.0655, 634.8612, 672.7225, 683.6591, 733.1948, 735.1568, 742.9256, 764.12, 796.4005, 806.7274, 886.3414, 936.5122, 984.3863, 985.3615, 992.6715, 999.6097, 1030.5884, 1041.928, 1049.2247, 1061.5353, 1075.0519, 1122.0583, 1125.7624, 1165.3207, 1175.7385, 1200.2711, 1240.1175, 1258.1897, 1277.1916, 1289.4796, 1304.5899, 1306.2799, 1315.1953, 1324.7685, 1335.4556, 1352.8055, 1360.8896, 1389.726, 1406.2345, 1421.2473, 1468.8347, 1474.3941, 1482.3686, 1501.4899, 1512.0979, 1631.674, 1633.3539, 1690.9148, 1765.9638, 1773.3437, 1775.5203, 2621.0973, 2622.9392, 2641.1448, 2644.0049, 2678.2357, 2682.3182, 2711.3687, 2713.2595, 2716.7019, 2717.9761","33.265, 55.1576, 59.7012, 60.1133, 63.6999, 98.5095, 106.8513, 142.2431, 174.5487, 185.1173, 196.3109, 202.1683, 235.168, 260.6815, 306.9934, 314.2755, 325.7942, 346.8711, 357.2978, 378.5076, 436.1499, 441.6316, 521.5396, 543.0619, 546.849, 561.1962, 615.0874, 634.2782, 678.2623, 717.4838, 748.8984, 752.6135, 760.3954, 766.7473, 792.6089, 831.6511, 860.421, 889.0143, 920.9218, 941.8204, 952.1387, 959.869, 960.7692, 969.4993, 1036.3876, 1072.2406, 1111.3252, 1116.2986, 1129.3291, 1158.7594, 1177.0478, 1198.8768, 1233.5106, 1263.1701, 1269.1458, 1305.7191, 1315.2549, 1349.7119, 1383.6337, 1385.1146, 1385.1442, 1396.9774, 1399.3914, 1420.4154, 1426.1486, 1443.8109, 1449.2283, 1518.8629, 1529.2801, 1538.43, 1546.1557, 1551.0923, 1591.0737, 1620.8455, 1637.5423, 1662.2301, 1668.4795, 3021.7269, 3027.7763, 3067.2182, 3069.9725, 3107.2528, 3108.9828, 3115.3983, 3118.384, 3264.3703, 3264.7898"
